"Time (s);""Magnetic Field x (µT)"";""Magnetic Field y (µT)"";""Magnetic Field z (µT)"";""Absolute field (µT)""",,,,,
1,306276521E0;-1,343399963E2;-5,519999981E0;-8,333999634E1;1,5.82E+10
1,314272000E0;-1,343999939E2;-5,639999866E0;-8,345999908E1;1,5.83E+10
1,322297995E0;-1,349400024E2;-5,819999695E0;-8,340000153E1;1,5.87E+10
1,330354508E0;-1,349400024E2;-6,059999943E0;-8,387999725E1;1,5.90E+10
1,338288952E0;-1,345800018E2;-5,940000057E0;-8,375999451E1;1,5.86E+10
1,346314947E0;-1,344599915E2;-6,059999943E0;-8,351999664E1;1,5.84E+10
1,354310425E0;-1,340999908E2;-6,059999943E0;-8,340000153E1;1,5.80E+10
1,362305904E0;-1,341600037E2;-6,059999943E0;-8,327999878E1;1,5.80E+10
1,370392933E0;-1,338000031E2;-6,299999714E0;-8,340000153E1;1,5.78E+10
1,378327377E0;-1,337399902E2;-6,239999771E0;-8,381999969E1;1,5.80E+10
1,386322856E0;-1,339799957E2;-5,940000057E0;-8,387999725E1;1,5.82E+10
1,394348852E0;-1,340399933E2;-6,059999943E0;-8,387999725E1;1,5.82E+10
1,402344329E0;-1,345800018E2;-5,400000095E0;-8,441999817E1;1,5.90E+10
1,410400842E0;-1,348799896E2;-5,219999790E0;-8,405999756E1;1,5.90E+10
1,418335286E0;-1,346999969E2;-5,579999924E0;-8,381999969E1;1,5.87E+10
1,426361281E0;-1,346399994E2;-5,639999866E0;-8,393999481E1;1,5.88E+10
1,434356760E0;-1,348799896E2;-6,059999943E0;-8,363999939E1;1,5.88E+10
1,442352238E0;-1,351199951E2;-6,239999771E0;-8,375999451E1;1,5.91E+10
1,450439268E0;-1,348199921E2;-5,759999752E0;-8,411999512E1;1,5.90E+10
1,458373712E0;-1,349400024E2;-5,639999866E0;-8,411999512E1;1,5.91E+10
1,466369190E0;-1,344599915E2;-5,759999752E0;-8,381999969E1;1,5.86E+10
1,474395186E0;-1,340999908E2;-5,579999924E0;-8,405999756E1;1,5.84E+10
1,482390664E0;-1,347599945E2;-5,819999695E0;-8,381999969E1;1,5.88E+10
1,490447176E0;-1,345800018E2;-5,759999752E0;-8,418000031E1;1,5.88E+10
1,498381621E0;-1,348799896E2;-5,579999924E0;-8,418000031E1;1,5.91E+10
1,506407616E0;-1,347599945E2;-5,879999638E0;-8,400000000E1;1,5.89E+10
1,514403094E0;-1,343999939E2;-5,879999638E0;-8,411999512E1;1,5.87E+10
1,522398573E0;-1,343999939E2;-5,819999695E0;-8,387999725E1;1,5.85E+10
1,530485603E0;-1,343999939E2;-5,819999695E0;-8,375999451E1;1,5.85E+10
1,538420046E0;-1,342799988E2;-5,279999733E0;-8,315999603E1;1,5.80E+10
1,546415525E0;-1,346999969E2;-5,579999924E0;-8,286000061E1;1,5.82E+10
1,554441521E0;-1,345800018E2;-5,759999752E0;-8,297999573E1;1,5.82E+10
1,562436998E0;-1,342200012E2;-5,759999752E0;-8,291999817E1;1,5.79E+10
1,570524028E0;-1,340399933E2;-6,239999771E0;-8,363999939E1;1,5.81E+10
1,578458473E0;-1,334400024E2;-6,119999886E0;-8,375999451E1;1,5.77E+10
1,586453950E0;-1,338600006E2;-6,239999771E0;-8,340000153E1;1,5.78E+10
1,594479946E0;-1,336799927E2;-6,779999733E0;-8,387999725E1;1,5.80E+10
